
Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексiнің
106-бабына , "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 6-бабының 1 тармағының
1) тармақшасына сәйкес, Солтүстік Қазақстан облысы Мамлют ауданының мәслихаты
ШЕШТІ
:


1. "2016-2018 жылдарға арналған аудандық бюджеті туралы" Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2
шешіміне (2016 жылғы 29 қаңтардағы "Солтүстік жұлдызы", "Знамя труда" аудандық газеттерінде жарияланған, нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде № 3539 болып тіркелген) келесі өзгерістер енгізілсін:


Нұсқалған шешімнің
1 ,
4 қосымшалары осы шешімнің
1 ,
2 қосымшаларына сәйкес жаңа редакцияда баяндалсын.


2. Осы шешім 2016 жылғы 1 қаңтардан бастап қолданысқа енгізіледi.


Солтүстік Қазақстан облысыМамлют ауданы мәслихатысессиясының төрағасы	|	А. Жүнісов
Солтүстік Қазақстан облысыМамлют ауданы мәслихатыныңхатшысы	|	Р. Нұрмұқанова
"КЕЛІСІЛДІ""Солтүстік Қазақстан облысыМамлют ауданыныңэкономика және қаржы бөлімі"мемлекеттiк мекемесiніңбасшысы2016 жыл 10 маусым	|	А.Биктимиров




	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2016 жылғы 10 маусымдағы № 4/2 шешіміне 1 қосымша
	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2 шешіміне 1 қосымша

2016 жылға Мамлют аудандық бюджеті

Санаты	|	Сыныбы	|	Iшкi сыныбы	|	Атауы	|	Сома, мың теңге
	|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	1100
	|	472	|		|	Ауданның (облыстық маңызы бар қаланың) құрылыс, сәулет және қала құрылысы бөлімі	|	8287,9
	|		|	004	|	Инженерлік-коммуникациялық инфрақұрылымды жобалау, дамыту және (немесе) абаттандыру	|	8287,9
08	|		|		|	Мәдениет, спорт, туризм және ақпараттық кеңістік	|	142426,8
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	45191,8
	|		|	006	|	Жергілікті деңгейде мәдени-демалыс жұмыстарын қолдау	|	45191,8
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	22748
	|		|	003	|	Мәдени-демалыс жұмысын қолдау	|	21748
	|		|	032	|	Ведомстволық бағыныстағы мемлекеттік мекемелерінің және ұйымдарының күрделі шығыстары	|	1000
	|	465	|		|	Ауданның (облыстық маңызы бар қаланың) дене шынықтыру және спорт бөлімі	|	8697
	|		|	001	|	Жергілікті деңгейде дене шынықтыру және спорт саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	6529
	|		|	006	|	Аудандық (облыстық маңызы бар қалалық) деңгейде спорттық жарыстар өткізу	|	260
	|		|	007	|	Әр түрлі спорт түрлері бойынша аудан (облыстық маңызы бар қала) құрама командаларының мүшелерін дайындау және олардың облыстық спорт жарыстарына қатысуы	|	1908
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	35848
	|		|	006	|	Аудандық (қалалық) кітапханалардың жұмыс істеуi	|	35169
	|		|	007	|	Мемлекеттiк тiлдi және Қазақстан халқының басқа да тiлдерін дамыту	|	679
