РҚАО-ның ескертпесі. 

Құжаттың мәтінінде түпнұсқаның пунктуациясы мен орфографиясы сақталған. 

Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексінің
106 бабының 4 тармағына және "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының
6 бабына сәйкес аудандық мәслихат ШЕШІМ ҚАБЫЛДАДЫ:

1.
"2015 – 2017 жылдарға арналған аудандық бюджет туралы" Қордай аудандық маслихатының 2014 жылғы 22 желтоқсандағы
№37-3 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде
№2449 болып тіркелген, 2014 жылдың 31 желтоқсанында №205-206 аудандық "Қордай шамшырағы" - "Кордайский маяк" газетінде жарияланған) келесі өзгерістер енгізілсін:


аталған шешімнің
1 және
5 қосымшалары осы шешімнің
1 және
2 қосымшаларына сәйкес жаңа редакцияда мазмұндалсын.

2.
Осы шешім әділет органдарында мемлекеттік тіркеуден өткен күннен бастап күшіне енеді және 2015 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Аудандық мәслихат	|	Аудандық
сессиясының төрайымы	|	мәслихаттың хатшысы
Г. Айтқұлова	|	Б. Әлімбет




	|	Қордай аудандық мәслихатының2015 жылғы 15 мамырдағы№41-5 шешіміне 1 – қосымша
	|	Қордай аудандық мәслихатының2014 жылғы 22 желтоқсандағы№37-3 шешіміне 1 – қосымша

2015 жылға арналған аудандық бюджет

Санаты	|	Сомасы, мың теңге
Сыныбы Ішкі сыныбы Атауы
1	|	2	|	3	|	4	|	5
	|		|	010	|	Жерлеу орындарын ұстау және туысы жоқ адамдарды жерлеу	|	304
	|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	40646
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	32796
	|		|	015	|	Елді мекендерде көшелерді жарықтандыру	|	1200
	|		|	016	|	Елді мекендердің санитариясын қамтамасыз ету	|	588
	|		|	018	|	Елді мекендерді абаттандыру мен көгалдандыру	|	31008
08	|		|		|	Мәдениет, спорт, туризм және ақпараттық кеңістiк	|	312257
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	154608
	|		|	003	|	Мәдени-демалыс жұмысын қолдау	|	147250
	|		|	009	|	Тарихи-мәдени мұра ескерткіштерін сақтауды және оларға қол жетімділікті қамтамасыз ету	|	7358
	|	465	|		|	Ауданның (облыстық маңызы бар қаланың) дене шынықтыру және спорт бөлімі	|	20008
	|		|	001	|	Жергілікті деңгейде дене шынықтыру және спорт саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	5428
	|		|	004	|	Мемлекеттік органның күрделі шығыстары	|	310
	|		|	006	|	Аудандық (облыстық маңызы бар қалалық) деңгейде спорттық жарыстар өткiзу	|	5554
	|		|	007	|	Әртүрлi спорт түрлерi бойынша аудан (облыстық маңызы бар қала) құрама командаларының мүшелерiн дайындау және олардың облыстық спорт жарыстарына қатысуы	|	8716
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	49607
	|		|	006	|	Аудандық (қалалық) кiтапханалардың жұмыс iстеуi	|	48511
	|		|	007	|	Мемлекеттік тілді және Қазақстан халықтарының басқа да тілдерін дамыту	|	1096
	|	456	|		|	Ауданның (облыстық маңызы бар қаланың) ішкі саясат бөлімі	|	14404
	|		|	002	|	Мемлекеттік ақпараттық саясат жүргізу жөніндегі қызметтер	|	14404
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	28171
	|		|	001	|	Жергілікті деңгейде тілдерді және мәдениетті дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	8347
	|		|	010	|	Мемлекеттік органның күрделі шығыстары	|	580
	|		|	032	|	Ведомстволық бағыныстағы мемлекеттік мекемелерінің және ұйымдарының күрделі шығыстары	|	19244
	|	456	|		|	Ауданның (облыстық маңызы бар қаланың) ішкі саясат бөлімі	|	45459
	|		|	001	|	Жергілікті деңгейде ақпарат, мемлекеттілікті нығайту және азаматтардың әлеуметтік сенімділігін қалыптастыру саласында мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	15163
	|		|	003	|	Жастар саясаты саласында іс-шараларды іске асыру	|	30257
	|		|	006	|	Мемлекеттік органның күрделі шығыстары	|	39
10	|		|		|	Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары	|	212524
	|	462	|		|	Ауданның (облыстық маңызы бар қаланың) ауыл шаруашылығы бөлімі	|	38266
	|		|	001	|	Жергілікті деңгейде ауыл шаруашылығы саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	14362
	|		|	006	|	Мемлекеттік органның күрделі шығыстары	|	245
	|		|	099	|	Мамандардың әлеуметтік көмек көрсетуі жөніндегі шараларды іске асыру	|	23659
	|	473	|		|	Ауданның (облыстық маңызы бар қаланың) ветеринария бөлімі	|	47638
	|		|	001	|	Жергілікті деңгейде ветеринария саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	16882
	|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	78
	|		|	005	|	Мал көмінділерінің (биотермиялық шұңқырлардың) жұмыс істеуін қамтамасыз ету	|	1298
	|		|	006	|	Ауру жануарларды санитарлық союды ұйымдастыру	|	11224
	|		|	007	|	Қаңғыбас иттер мен мысықтарды аулауды және жоюды ұйымдастыру	|	2977
	|		|	008	|	Алып қойылатын және жойылатын ауру жануарлардың, жануарлардан алынатын өнімдер мен шикізаттың құнын иелеріне өтеу	|	11466
	|		|	009	|	Жануарлардың энзоотиялық аурулары бойынша ветеринариялық іс-шараларды жүргізу	|	1306
	|		|	010	|	Ауыл шаруашылығы жануарларын бірдейлендіру жөніндегі іс-шараларды жүргізу	|	2407
	|	463	|		|	Ауданның (облыстық маңызы бар қаланың) жер қатынастары бөлімі	|	16620
	|		|	001	|	Аудан (облыстық маңызы бар қала) аумағында жер қатынастарын реттеу саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	9523
	|		|	003	|	Елдi мекендердi жер-шаруашылық орналастыру	|	7097
	|	473	|		|	Ауданның (облыстық маңызы бар қаланың) ветеринария бөлімі	|	110000
	|		|	011	|	Эпизоотияға қарсы іс-шаралар жүргізу	|	110000
11	|		|		|	Өнеркәсіп, сәулет, қала құрылысы және құрылыс қызметі	|	110487
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	110487
	|		|	001	|	Құрылыс, облыс қалаларының, аудандарының және елді мекендерінің сәулеттік бейнесін жақсарту саласындағы мемлекеттік саясатты іске асыру және ауданның (облыстық маңызы бар қаланың) аумағында оңтайла және тиімді қала құрылыстық игеруді қамтамасыз ету жөніндегі қызметтер	|	13355
